Loan_ID,Customer_ID,Purpose_Category,Purpose,State,Employment_Title,Employment_Level,Emp_Length_Years,Home_Ownership,Annual_Income,Income_Group,Income_Verification_Status,Verified_Income_Flag,Debt_to_Income_Ratio,DTI_Category,Total_Credit_Account,Loan_Amount,Loan_Size_Category,Interest_Rate,Interest_Rate_Category,EMI_Amount,Loan_Term_Months,Loan_Term_Category,Loan_Grade,Loan_Sub_Grade,Loan_Issue_Date,Last_Credit_Check_Date,Last_Payment_Date,Next_Payment_Due_Date,Loan_to_Income_Ratio,EMI_to_Income_Ratio,Total_Payment,Loan_Recovered_Percent,Loan_Recovery_Category,Loan_Status,Profit_Status,Risk_Score,Risk_Category,Risk_Aggregation,Data_Validation_Flag
1057766,1289131,Personal,Car,TX,Ericsson,Senior,10,Mortgage,75000,Middle (75-150K),Not Verified,0,0.088,Low ( ≤10),33,5400,Medium (5-15K),0.1269,Medium (10-20),181.15,36,Short Term,B,B5,2021-07-22,2021-09-13,2021-08-13,2021-09-13,0.072,0.028984,6277,1.162407407,Fully Recovered (≥100),Fully Paid,Profit,0.475333333,Moderate,3.19424,Valid
1062734,1295018,Personal,Car,CA,Myrvpartsplace.Com,Junior,3,Rent,75000,Middle (75-150K),Not Verified,0,0.2288,High (>20),13,11200,Medium (5-15K),0.1242,Medium (10-20),374.26,36,Short Term,B,B4,2021-09-11,2021-03-13,2021-10-12,2021-11-12,0.149333333,0.0598816,4225,0.377232143,Partially Recovered (25-75),Charged Off,Loss,0.562718934,Moderate,3.781471238,Valid
1062654,1294929,Personal,Car,CA,Aeg Live,Junior,4,Rent,35000,Lower Middle (25-75K),Not Verified,0,0.0401,Low ( ≤10),3,5000,Medium (5-15K),0.1171,Medium (10-20),165.38,36,Short Term,B,B3,2021-08-11,2021-10-13,2021-09-13,2021-10-13,0.142857143,0.056701714,5728,1.1456,Fully Recovered (≥100),Fully Paid,Profit,0.584099368,Moderate,3.925147755,Valid
1020855,1249642,Personal,Car,CA,Henkel Corporation,Junior,5,Rent,48000,Lower Middle (25-75K),Not Verified,0,0.1533,Medium (10-20),15,8000,Medium (5-15K),0.1269,Medium (10-20),268.36,36,Short Term,B,B5,2021-12-11,2021-12-14,2021-12-14,2022-01-14,0.166666667,0.06709,9661,1.207625,Fully Recovered (≥100),Fully Paid,Profit,0.566669501,Moderate,3.808019048,Valid
1060945,1293124,Personal,Car,IL,Axa Assistance,Junior,4,Rent,92000,Middle (75-150K),Not Verified,0,0.106,Medium (10-20),18,6000,Medium (5-15K),0.1242,Medium (10-20),200.5,36,Short Term,B,B4,2021-10-11,2021-12-14,2021-12-14,2022-01-14,0.065217391,0.026152174,7218,1.203,Fully Recovered (≥100),Fully Paid,Profit,0.480520741,Moderate,3.229099379,Valid
1060995,1292578,Personal,Car,RI,Hsa-Uwc,Fresher,0,Rent,60000,Lower Middle (25-75K),Source Verified,1,0.063,Low ( ≤10),14,12000,Medium (5-15K),0.1242,Medium (10-20),400.99,36,Short Term,B,B4,2021-12-11,2021-02-14,2021-10-13,2021-11-13,0.2,0.080198,9547,0.795583333,Mostly Recovered (75-100),Charged Off,Loss,0.614454932,Moderate,4.129137143,Invalid
1046507,1277552,Personal,Car,TX,Child'S Day,Fresher,1,Rent,16800,Low (<25K),Verified,2,0.035,Low ( ≤10),8,3050,Small (<5K),0.0991,Low (≤10),98.29,36,Short Term,B,B1,2021-12-02,2021-04-16,2021-12-14,2022-01-14,0.181547619,0.070207143,3538,1.16,Fully Recovered (≥100),Fully Paid,Profit,0.550227137,Moderate,3.697526361,Valid
1059936,1291775,Personal,Car,NY,Oec Freight,Junior,4,Rent,40000,Lower Middle (25-75K),Source Verified,1,0.1869,Medium (10-20),7,10000,Medium (5-15K),0.1427,Medium (10-20),343.09,36,Short Term,C,C2,2021-10-09,2021-09-15,2021-11-12,2021-12-12,0.25,0.102927,11156,1.1156,Fully Recovered (≥100),Fully Paid,Profit,0.784312075,High,5.270577143,Valid
1059497,1291322,Personal,Car,FL,Sandestin Beach Hilton,Senior,10,Mortgage,35000,Lower Middle (25-75K),Verified,2,0.1392,Medium (10-20),23,5000,Medium (5-15K),0.1065,Medium (10-20),162.87,36,Short Term,B,B2,2021-12-12,2021-12-14,2021-12-14,2022-01-14,0.142857143,0.055841143,5863,1.1726,Fully Recovered (≥100),Fully Paid,Profit,0.551463071,Moderate,3.705831837,Valid
1058060,1289636,Personal,Car,MD,Unknown,Senior,10,Own,40000,Lower Middle (25-75K),Not Verified,0,0.0957,Low ( ≤10),13,5000,Medium (5-15K),0.1629,Medium (10-20),176.51,36,Short Term,D,D1,2021-02-02,2021-05-16,2021-02-15,2021-03-15,0.125,0.052953,6361,1.2722,Fully Recovered (≥100),Fully Paid,Profit,0.577525723,Moderate,3.880972857,Valid
112245,112227,Personal,Car,WI,Norman G. Olson Insurance,Mid,6,Rent,40000,Lower Middle (25-75K),Not Verified,0,0.0255,Low ( ≤10),7,5000,Medium (5-15K),0.0743,Low (≤10),155.38,36,Short Term,A,A2,2021-07-07,2021-04-16,2021-08-10,2021-09-10,0.125,0.046614,5594,1.1188,Fully Recovered (≥100),Fully Paid,Profit,0.470578869,Moderate,3.16229,Valid
207910,183496,Personal,Car,FL,Unknown,Fresher,0,Mortgage,120000,Middle (75-150K),Not Verified,0,0.0767,Low ( ≤10),20,2225,Small (<5K),0.0743,Low (≤10),69.14,36,Short Term,A,A2,2021-01-08,2021-05-16,2021-02-10,2021-03-10,0.018541667,0.006914,2508,1.127191011,Fully Recovered (≥100),Charged Off,Profit,0.351499141,Moderate,2.362074226,Valid
65426,232106,Personal,Car,MI,"Infotrieve,Inc.",Fresher,0,Mortgage,60000,Lower Middle (25-75K),Not Verified,0,0.1108,Medium (10-20),33,4000,Small (<5K),0.1114,Medium (10-20),131.22,36,Short Term,B,B1,2021-08-09,2021-05-16,2021-06-11,2021-07-11,0.066666667,0.026244,2755,0.68875,Partially Recovered (25-75),Charged Off,Loss,0.512632086,Moderate,3.444887619,Invalid
211723,211606,Personal,Car,MD,Self Employed,Junior,4,Own,72000,Lower Middle (25-75K),Not Verified,0,0.0512,Low ( ≤10),8,8000,Medium (5-15K),0.1109,Medium (10-20),262.26,36,Short Term,C,C2,2021-01-08,2021-12-09,2021-08-08,2021-09-08,0.111111111,0.04371,2135,0.266875,Partially Recovered (25-75),Charged Off,Loss,0.601199452,Moderate,4.040060317,Valid
662350,847024,Personal,Car,NV,Clark County School District,Senior,10,Mortgage,70800,Lower Middle (25-75K),Not Verified,0,0.0795,Low ( ≤10),39,2500,Small (<5K),0.0766,Low (≤10),77.95,36,Short Term,A,A5,2021-01-11,2021-02-13,2021-08-12,2021-09-12,0.035310734,0.013211864,1479,0.5916,Partially Recovered (25-75),Charged Off,Loss,0.388248431,Moderate,2.609029459,Valid
1006769,1233120,Personal,Car,PA,The Mount Sinai School Of Medicine,Mid,6,Mortgage,80000,Middle (75-150K),Not Verified,0,0.0648,Low ( ≤10),11,4000,Small (<5K),0.0751,Low (≤10),124.45,36,Short Term,A,A3,2021-11-11,2021-11-13,2021-06-13,2021-07-13,0.05,0.0186675,2479,0.61975,Partially Recovered (25-75),Charged Off,Loss,0.357288478,Moderate,2.400978571,Invalid
405898,454145,Personal,Car,GA,Blue Ridge Design Group,Fresher,0,Mortgage,36000,Lower Middle (25-75K),Not Verified,0,0.15,Medium (10-20),24,12000,Medium (5-15K),0.0963,Low (≤10),385.14,36,Short Term,A,A5,2021-06-09,2021-05-16,2021-12-09,2022-01-09,0.333333333,0.12838,2306,0.192166667,Poor Recovery (<25),Charged Off,Loss,0.522624717,Moderate,3.512038095,Valid
445846,544784,Personal,Car,MI,Abbott Nutrition,Senior,10,Mortgage,45000,Lower Middle (25-75K),Not Verified,0,0.152,Medium (10-20),24,7000,Medium (5-15K),0.0894,Low (≤10),222.41,36,Short Term,A,A5,2021-10-09,2021-05-16,2021-02-12,2021-03-12,0.155555556,0.059309333,6446,0.920857143,Mostly Recovered (75-100),Charged Off,Loss,0.461039494,Moderate,3.098185397,Invalid
659221,843127,Personal,Car,MI,Rice &Werthmann,Junior,3,Mortgage,86400,Middle (75-150K),Not Verified,0,0.0385,Low ( ≤10),10,9000,Medium (5-15K),0.0766,Low (≤10),280.62,36,Short Term,A,A5,2021-01-11,2021-05-16,2021-10-13,2021-11-13,0.104166667,0.038975,8945,0.993888889,Mostly Recovered (75-100),Charged Off,Loss,0.439221053,Moderate,2.951565476,Valid
782425,985412,Personal,Car,UT,Five County Assoc Of Governments,Mid,6,Mortgage,24600,Low (<25K),Not Verified,0,0.0785,Low ( ≤10),21,4800,Small (<5K),0.089,Low (≤10),152.42,36,Short Term,A,A5,2021-06-11,2021-05-16,2021-07-12,2021-08-12,0.195121951,0.07435122,1978,0.412083333,Partially Recovered (25-75),Charged Off,Loss,0.473306579,Moderate,3.180620209,Valid
458328,570309,Personal,Car,GA,North Ga Dentention Center,Fresher,0,Mortgage,30000,Lower Middle (25-75K),Not Verified,0,0.0992,Low ( ≤10),19,5000,Medium (5-15K),0.1148,Medium (10-20),164.85,36,Short Term,B,B2,2021-01-10,2021-11-10,2021-07-10,2021-08-10,0.166666667,0.06594,884,0.1768,Poor Recovery (<25),Charged Off,Loss,0.543178855,Moderate,3.650161905,Valid
744344,942813,Personal,Car,WA,Unknown,Mid,6,Mortgage,48000,Lower Middle (25-75K),Not Verified,0,0.2357,High (>20),27,6000,Medium (5-15K),0.1149,Medium (10-20),197.83,36,Short Term,B,B4,2021-05-11,2021-05-16,2021-01-13,2021-02-13,0.125,0.0494575,3950,0.658333333,Partially Recovered (25-75),Charged Off,Loss,0.586456207,Moderate,3.940985714,Invalid
1026463,1255647,Personal,Car,FL,Sky Powersports,Mid,6,Mortgage,60000,Lower Middle (25-75K),Not Verified,0,0.0366,Low ( ≤10),10,6300,Medium (5-15K),0.1465,Medium (10-20),217.32,36,Short Term,C,C3,2021-11-11,2021-04-14,2021-12-13,2022-01-13,0.105,0.043464,5554,0.881587302,Mostly Recovered (75-100),Charged Off,Loss,0.593750638,Moderate,3.990004286,Valid
489679,624878,Personal,Car,FL,Synovus Bank,Junior,2,Mortgage,34000,Lower Middle (25-75K),Not Verified,0,0.1486,Medium (10-20),6,6000,Medium (5-15K),0.157,Medium (10-20),210.07,36,Short Term,D,D4,2021-03-10,2021-12-12,2021-07-12,2021-08-12,0.176470588,0.074142353,5986,0.997666667,Mostly Recovered (75-100),Charged Off,Loss,0.693005202,High,4.656994958,Valid
519658,671773,Personal,Car,GA,Acumen Fiscal Agent/Ms Robinson,Fresher,0,Own,18000,Low (<25K),Not Verified,0,0.216,High (>20),16,4750,Small (<5K),0.0788,Low (≤10),148.59,36,Short Term,A,A5,2021-05-10,2021-01-12,2021-08-11,2021-09-11,0.263888889,0.09906,2216,0.466526316,Partially Recovered (25-75),Charged Off,Loss,0.555064366,Moderate,3.73003254,Valid
470041,593245,Personal,Car,CA,Inspired Automation Inc,Senior,10,Own,43800,Lower Middle (25-75K),Not Verified,0,0.0737,Low ( ≤10),7,4800,Small (<5K),0.0705,Low (≤10),148.32,36,Short Term,A,A1,2021-01-10,2021-03-12,2021-10-11,2021-11-11,0.109589041,0.040635616,3210,0.66875,Partially Recovered (25-75),Charged Off,Loss,0.485663615,Moderate,3.263659491,Valid
393852,432187,Personal,Car,NH,Self,Senior,10,Own,98736,Middle (75-150K),Not Verified,0,0.0812,Low ( ≤10),19,9000,Medium (5-15K),0.1189,Medium (10-20),50.58,36,Short Term,B,B4,2021-05-09,2021-06-11,2021-01-11,2021-02-11,0.091152163,0.006147302,1045,0.116111111,Poor Recovery (<25),Charged Off,Loss,0.466295227,Moderate,3.133503924,Invalid
725534,920793,Personal,Car,TX,Able Electronics,Fresher,1,Own,48000,Lower Middle (25-75K),Not Verified,0,0.051,Low ( ≤10),45,1850,Small (<5K),0.1074,Medium (10-20),60.34,36,Short Term,B,B4,2021-04-11,2021-12-13,2021-07-13,2021-08-13,0.038541667,0.015085,1655,0.894594595,Mostly Recovered (75-100),Charged Off,Loss,0.402826097,Moderate,2.706991369,Valid
428387,506847,Personal,Car,PA,Abraxas I,Fresher,0,Own,27852,Lower Middle (25-75K),Not Verified,0,0.1021,Medium (10-20),28,4200,Small (<5K),0.1284,Medium (10-20),141.2,36,Short Term,C,C2,2021-07-09,2021-05-16,2021-10-09,2021-11-09,0.15079707,0.060835847,282,0.067142857,Poor Recovery (<25),Charged Off,Loss,0.563099305,Moderate,3.784027328,Valid
783561,986688,Personal,Car,CA,La Curacao,Mid,6,Rent,48000,Lower Middle (25-75K),Not Verified,0,0.2585,High (>20),16,6000,Medium (5-15K),0.0749,Low (≤10),186.61,36,Short Term,A,A4,2021-06-11,2021-06-12,2021-02-12,2021-03-12,0.125,0.0466525,1575,0.2625,Partially Recovered (25-75),Charged Off,Loss,0.495255102,Moderate,3.328114286,Invalid
969474,1190684,Personal,Car,HI,Outback Steakhouse,Mid,7,Rent,30000,Lower Middle (25-75K),Not Verified,0,0.1872,Medium (10-20),25,7200,Medium (5-15K),0.089,Low (≤10),228.63,36,Short Term,A,A5,2021-10-11,2021-03-14,2021-10-13,2021-11-13,0.24,0.091452,5845,0.811805556,Mostly Recovered (75-100),Charged Off,Loss,0.505379252,Moderate,3.396148571,Valid
773111,975126,Personal,Car,WA,Urs Corp,Junior,3,Rent,22800,Low (<25K),Not Verified,0,0.0526,Low ( ≤10),3,2400,Small (<5K),0.0849,Low (≤10),75.76,36,Short Term,A,A5,2021-06-11,2021-04-14,2021-11-13,2021-12-13,0.105263158,0.039873684,2278,0.949166667,Mostly Recovered (75-100),Charged Off,Loss,0.505325815,Moderate,3.395789474,Valid
472634,596856,Personal,Car,FL,Walmart,Fresher,1,Rent,12720,Low (<25K),Not Verified,0,0,Low ( ≤10),9,7500,Medium (5-15K),0.0705,Low (≤10),231.75,36,Short Term,A,A1,2021-12-09,2021-04-11,2021-11-10,2021-12-10,0.589622642,0.218632075,2073,0.2764,Partially Recovered (25-75),Charged Off,Loss,0.649061216,Moderate,4.361691375,Invalid
494891,633723,Personal,Car,MA,Edgestream Inc,Junior,5,Rent,31000,Lower Middle (25-75K),Not Verified,0,0.0159,Low ( ≤10),5,5550,Medium (5-15K),0.1136,Medium (10-20),182.66,36,Short Term,B,B5,2021-03-10,2021-04-16,2021-03-11,2021-04-11,0.179032258,0.070707097,2083,0.375315315,Partially Recovered (25-75),Charged Off,Loss,0.586493924,Moderate,3.941239171,Valid
458797,571361,Personal,Car,NV,Mad Matt'S Bar & Grille,Mid,8,Rent,89650,Middle (75-150K),Not Verified,0,0.0056,Low ( ≤10),19,22000,Large (>15K),0.1148,Medium (10-20),725.31,36,Short Term,B,B2,2021-11-09,2021-11-11,2021-07-11,2021-08-11,0.245398773,0.097085555,15424,0.701090909,Partially Recovered (25-75),Charged Off,Loss,0.501508299,Moderate,3.370135766,Invalid
743690,942003,Personal,Car,OK,Dominos Pizza,Junior,3,Rent,45000,Lower Middle (25-75K),Not Verified,0,0.1464,Medium (10-20),18,10000,Medium (5-15K),0.1199,Medium (10-20),332.1,36,Short Term,B,B5,2021-05-11,2021-02-15,2021-06-12,2021-07-12,0.222222222,0.08856,4553,0.4553,Partially Recovered (25-75),Charged Off,Loss,0.583198224,Moderate,3.919092063,Valid
384963,416412,Personal,Car,NJ,Pesci Family,Senior,10,Rent,39996,Lower Middle (25-75K),Not Verified,0,0.2298,High (>20),43,8000,Medium (5-15K),0.1095,Medium (10-20),261.71,36,Short Term,B,B1,2021-03-09,2021-07-11,2021-03-11,2021-04-11,0.200020002,0.078520852,6197,0.774625,Mostly Recovered (75-100),Charged Off,Loss,0.535854423,Moderate,3.600941723,Valid
508426,656002,Personal,Car,OH,Forum Health,Fresher,0,Rent,49800,Lower Middle (25-75K),Not Verified,0,0.174,Medium (10-20),13,5000,Medium (5-15K),0.1099,Medium (10-20),163.68,36,Short Term,B,B4,2021-05-10,2021-05-16,2021-12-11,2022-01-11,0.100401606,0.039440964,3110,0.622,Partially Recovered (25-75),Charged Off,Loss,0.551388889,Moderate,3.705333333,Valid
402318,446914,Personal,Car,IL,River Trails Park District,Mid,8,Rent,15000,Low (<25K),Not Verified,0,0.1688,Medium (10-20),19,3200,Small (<5K),0.1221,Medium (10-20),106.61,36,Short Term,B,B5,2021-05-09,2021-03-12,2021-10-11,2021-11-11,0.213333333,0.085288,3140,0.98125,Mostly Recovered (75-100),Charged Off,Loss,0.619439342,Moderate,4.162632381,Valid
359401,366581,Personal,Car,CA,Dms Marketing,Junior,2,Rent,48000,Lower Middle (25-75K),Not Verified,0,0.1753,Medium (10-20),14,6000,Medium (5-15K),0.1241,Medium (10-20),200.47,36,Short Term,C,C3,2021-10-08,2021-05-16,2021-09-09,2021-10-09,0.125,0.0501175,5104,0.850666667,Mostly Recovered (75-100),Charged Off,Loss,0.584866071,Moderate,3.9303,Invalid
290803,290796,Personal,Car,TX,Nesle,Fresher,0,Rent,37440,Lower Middle (25-75K),Not Verified,0,0.0772,Low ( ≤10),14,3000,Small (<5K),0.1134,Medium (10-20),98.7,36,Short Term,C,C2,2021-03-08,2021-12-10,2021-08-10,2021-09-10,0.080128205,0.031634615,2798,0.932666667,Mostly Recovered (75-100),Charged Off,Loss,0.52695183,Moderate,3.5411163,Valid
847836,1059380,Personal,Car,AZ,24 Hour Fitness,Mid,7,Rent,105000,Middle (75-150K),Not Verified,0,0.135,Medium (10-20),29,11200,Medium (5-15K),0.1399,Medium (10-20),382.74,36,Short Term,C,C3,2021-08-11,2021-05-16,2021-05-13,2021-06-13,0.106666667,0.043741714,8037,0.717589286,Partially Recovered (25-75),Charged Off,Loss,0.531848801,Moderate,3.574023946,Invalid
362098,371139,Personal,Car,FL,Starbucks,Junior,2,Rent,15000,Low (<25K),Not Verified,0,0.14,Medium (10-20),13,4000,Small (<5K),0.1367,Medium (10-20),136.08,36,Short Term,D,D2,2021-11-08,2021-01-11,2021-08-10,2021-09-10,0.266666667,0.108864,2685,0.67125,Partially Recovered (25-75),Charged Off,Loss,0.676246032,High,4.544373333,Invalid
1044994,1275383,Personal,Car,CA,Urs Corp,Junior,4,Rent,59100,Lower Middle (25-75K),Not Verified,0,0.1287,Medium (10-20),13,3000,Small (<5K),0.1677,Medium (10-20),106.62,36,Short Term,D,D2,2021-12-11,2021-05-16,2021-03-14,2021-04-14,0.050761421,0.021648731,2772,0.924,Mostly Recovered (75-100),Charged Off,Loss,0.564437437,Moderate,3.793019579,Invalid
734343,930853,Personal,Car,NY,Berean Group,Junior,4,Mortgage,126000,Middle (75-150K),Not Verified,0,0.1529,Medium (10-20),22,6000,Medium (5-15K),0.1,Low (≤10),193.61,36,Short Term,B,B2,2021-04-11,2021-03-14,2021-10-13,2021-11-13,0.047619048,0.018439048,5796,0.966,Mostly Recovered (75-100),Charged Off,Loss,0.419503563,Moderate,2.819063946,Valid
126392,125914,Personal,Car,WI,Tideway Systems,Fresher,0,Mortgage,173000,Upper Middle (150-300K),Not Verified,0,0.0072,Low ( ≤10),41,10000,Medium (5-15K),0.0807,Low (≤10),313.67,36,Short Term,A,A4,2021-09-07,2021-08-07,2021-04-08,2021-05-08,0.057803468,0.021757457,10435,1.0435,Fully Recovered (≥100),Fully Paid,Profit,0.23139731,Low,1.554989926,Invalid
269289,260821,Personal,Car,CT,Mdm Golf,Fresher,0,Mortgage,60000,Lower Middle (25-75K),Not Verified,0,0.0894,Low ( ≤10),27,10000,Medium (5-15K),0.0863,Low (≤10),316.28,36,Short Term,A,A5,2021-03-08,2021-01-11,2021-10-10,2021-11-10,0.166666667,0.063256,11340,1.134,Fully Recovered (≥100),Fully Paid,Profit,0.438168651,Moderate,2.944493333,Valid
266282,188654,Personal,Car,TX,"Netvida Marketing,Inc.",Junior,5,Mortgage,40000,Lower Middle (25-75K),Not Verified,0,0.1872,Medium (10-20),35,8000,Medium (5-15K),0.0976,Low (≤10),257.24,36,Short Term,B,B2,2021-02-08,2021-05-10,2021-05-10,2021-06-10,0.2,0.077172,9149,1.143625,Fully Recovered (≥100),Fully Paid,Profit,0.517164966,Moderate,3.475348571,Valid
243406,243089,Personal,Car,NJ,Ck General Construction,Mid,9,Mortgage,200000,Upper Middle (150-300K),Not Verified,0,0.0484,Low ( ≤10),22,6000,Medium (5-15K),0.0976,Low (≤10),192.93,36,Short Term,B,B2,2021-02-08,2021-09-12,2021-02-11,2021-03-11,0.03,0.0115758,6945,1.1575,Fully Recovered (≥100),Fully Paid,Profit,0.339115986,Moderate,2.278859429,Valid
226154,225530,Personal,Car,MN,Ramsey County,Senior,10,Mortgage,72000,Lower Middle (25-75K),Not Verified,0,0.2257,High (>20),44,5000,Medium (5-15K),0.1393,Medium (10-20),170.72,36,Short Term,E,E1,2021-01-08,2021-01-11,2021-02-11,2021-03-11,0.069444444,0.028453333,6146,1.2292,Fully Recovered (≥100),Fully Paid,Profit,0.562940169,Moderate,3.782957937,Valid
253727,253715,Personal,Car,WA,Central Washington Hospital,Junior,2,Own,10000,Low (<25K),Not Verified,0,0,Low ( ≤10),6,4500,Small (<5K),0.0863,Low (≤10),142.33,36,Short Term,A,A5,2021-02-08,2021-09-10,2021-09-10,2021-10-10,0.45,0.170796,5096,1.132444444,Fully Recovered (≥100),Fully Paid,Profit,0.602751276,Moderate,4.050488571,Valid
196380,188466,Personal,Car,CA,Comerica Bank,Senior,10,Rent,62000,Lower Middle (25-75K),Not Verified,0,0.1407,Medium (10-20),23,11000,Medium (5-15K),0.0807,Low (≤10),345.06,36,Short Term,A,A4,2021-01-08,2021-02-10,2021-02-10,2021-03-10,0.177419355,0.066785806,12247,1.113363636,Fully Recovered (≥100),Fully Paid,Profit,0.463480771,Moderate,3.114590783,Valid
206181,167318,Personal,Car,MA,Lexington Alarm Systems,Fresher,0,Rent,28800,Lower Middle (25-75K),Not Verified,0,0,Low ( ≤10),5,3500,Small (<5K),0.0712,Low (≤10),108.27,36,Short Term,A,A1,2021-01-08,2021-04-16,2021-04-10,2021-05-10,0.121527778,0.0451125,3863,1.103714286,Fully Recovered (≥100),Fully Paid,Profit,0.458452765,Moderate,3.080802579,Valid
219070,219037,Personal,Car,CO,Arborist Services,Junior,2,Rent,50000,Lower Middle (25-75K),Not Verified,0,0.0506,Low ( ≤10),21,6000,Medium (5-15K),0.1046,Medium (10-20),194.91,36,Short Term,B,B5,2021-02-08,2021-09-10,2021-09-10,2021-10-10,0.12,0.0467784,6982,1.163666667,Fully Recovered (≥100),Fully Paid,Profit,0.505688095,Moderate,3.398224,Valid
219000,218997,Personal,Car,WA,Evergreen Treatment Services,Junior,3,Rent,37000,Lower Middle (25-75K),Not Verified,0,0.1674,Medium (10-20),36,5500,Medium (5-15K),0.092,Low (≤10),175.42,36,Short Term,B,B1,2021-01-08,2021-01-11,2021-01-11,2021-02-11,0.148648649,0.056892973,6320,1.149090909,Fully Recovered (≥100),Fully Paid,Profit,0.490572601,Moderate,3.296647876,Valid
